app,ddr_ipc, cxl_ipc,ddr_mbw,cxl_mbw,ddr_mlat,cxl_mlat,
mose,0,0,0,0,0,0,
imgd,0,0,0,0,0,0,
cc,0,0,0,0,0,0,
bc,0,0,0,0,0,0,
lbm,1.196896,0.930298,0.1942,0.0374,94.7,95.6,
masst,0,0,0,0,0,0,
pr,0,0,0,0,0,0,
cactB,1.756111,1.770786,0.0524,0.0134,117.9,121.2,
tc,0,0,0,0,0,0,
parst,0.0,1.643638,0,0.0,0.0,93.6,
sphx,0,0,0,0,0,0,
bfs,0,0,0,0,0,0,
omntp,1.490529,1.40931,0.0127,0.0032,97.3,98.4,
wrf,1.579483,1.562813,0.0751,0.02,96.6,98.3,
xz,1.985854,1.866884,0.0528,0.0125,99.3,99.8,
mica,0,0,0,0,0,0,
cam4,1.293977,1.17045,0.0949,0.0216,95.9,97.5,
mDB,0,0,0,0,0,0,
mcf,1.585155,1.500955,0.165,0.0397,90.8,92.3,
sssp,0,0,0,0,0,0,
xapn,0,0,0,0,0,0,
leela,0.0,1.881203,0,0.0002,0.0,92.7,
nab,1.733386,1.734826,0.0169,0.0042,100.2,100.3,
povray,1.919051,1.912456,0.0004,0.0002,102.7,103.2,
deepsj,2.257903,2.218,0.0097,0.002,97.7,99.1,
perlbc,0.0,1.681096,0,0.0,0.0,96.3,
