app,ddr_ipc, cxl_ipc,ddr_mbw,cxl_mbw,ddr_mlat,cxl_mlat,
mose,0,0,0,0,0,0,
imgd,0,0,0,0,0,0,
cc,2.099075,2.103039,0.3384,0.0901,91.6,95.1,
bc,0.91046,0.847706,0.1042,0.0242,97.3,99.0,
lbm,0,0,0,0,0,0,
masst,0,0,0,0,0,0,
pr,1.012884,0.938567,0.3662,0.0794,93.3,96.5,
cactB,0,0,0,0,0,0,
tc,1.755761,1.741944,0.2125,0.0541,93.1,95.3,
parst,0,0,0,0,0,0,
sphx,0,0,0,0,0,0,
bfs,1.613359,1.460643,0.2221,0.0514,95.4,96.6,
omntp,0,0,0,0,0,0,
wrf,0,0,0,0,0,0,
xz,0,0,0,0,0,0,
mica,0,0,0,0,0,0,
cam4,0,0,0,0,0,0,
mDB,0,0,0,0,0,0,
mcf,0,0,0,0,0,0,
sssp,1.336904,1.245439,0.0672,0.0156,98.4,99.0,
xapn,0,0,0,0,0,0,
leela,0,0,0,0,0,0,
nab,0,0,0,0,0,0,
povray,0,0,0,0,0,0,
deepsj,0,0,0,0,0,0,
perlbc,0,0,0,0,0,0,
