app, ddr_ipc, cxl_ipc,ddr_mbw,cxl_mbw,ddr_mlat,cxl_mlat,ddr_st,cxl_st,ddr_st_p90,cxl_st_p90
moses,2.034764,2.001038,0.0718,0.0162,94.7,95.5,,,,
imgdnn,1.877579,1.875324,0.3236,0.0813,95,92.8,,,,
masstree,1.59093,1.529669,2.0977,0.5159,99.5,98.2,,,,
sphinx,1.245672,1.224498,0.0679,0.0173,97.5,98.3,,,,
xapian,1.892294,1.889431,0.0009,0.0003,94,92.8,,,,
lbm,0.992622,0.895508,3.7367,0.8559,119.8,103.3,,,,
parest,1.688423,1.650758,0.0581,0.014,92.1,94.5,,,,
omnetpp,1.074523,1.006319,3.1812,0.7599,116,103.2,,,,
wrf,1.548053,1.532293,2.2541,0.5492,111.5,102.5,,,,
cam4,1.132694,1.136587,2.1596,0.5614,134,108.5,,,,
leela,1.886953,1.877667,0.0106,0.0024,91.7,93.9,,,,
nab,1.737989,1.736667,0.2727,0.0683,99.5,100.5,,,,
perlbench,1.721482,1.685349,0.0007,0.0002,96.3,97,,,,
