app,ddr_ipc, cxl_ipc,ddr_mbw,cxl_mbw,ddr_mlat,cxl_mlat,
mose,0,0,0,0,0,0,
imgd,0,0,0,0,0,0,
cc,0,0,0,0,0,0,
bc,0,0,0,0,0,0,
lbm,0,0,0,0,0,0,
masst,0,0,0,0,0,0,
pr,0,0,0,0,0,0,
cactB,0.0,1.650936,12.1003,3.4423,0.0,117.3,
tc,0,0,0,0,0,0,
parst,1.049341,1.051571,21.7236,5.4858,112.4,97.8,
sphx,0,0,0,0,0,0,
bfs,0,0,0,0,0,0,
omntp,0,0,0,0,0,0,
wrf,0,0,0,0,0,0,
xz,0,0,0,0,0,0,
mica,0,0,0,0,0,0,
cam4,0,0,0,0,0,0,
mDB,0,0,0,0,0,0,
mcf,0.0,1.418279,11.5918,2.8139,0.0,98.1,
sssp,0,0,0,0,0,0,
xapn,0,0,0,0,0,0,
leela,0,0,0,0,0,0,
nab,0,0,0,0,0,0,
povray,1.920376,1.914853,0.0331,0.0079,97.9,96.8,
deepsj,2.249411,2.222764,0.8136,0.1926,111.8,103.3,
perlbc,1.725652,1.684944,0.345,0.0837,107.2,100.8,
