app,ddr_ipc, cxl_ipc,ddr_mbw,cxl_mbw,ddr_mlat,cxl_mlat,
mose,0,0,0,0,0,0,
imgd,0,0,0,0,0,0,
cc,0,0,0,0,0,0,
bc,0,0,0,0,0,0,
lbm,0,0,0,0,0,0,
masst,0,0,0,0,0,0,
pr,0,0,0,0,0,0,
cactB,0,0,0,0,0,0,
tc,0,0,0,0,0,0,
parst,0,0,0,0,0,0,
sphx,0,0,0,0,0,0,
bfs,0,0,0,0,0,0,
omntp,0,0,0,0,0,0,
wrf,0,0,0,0,0,0,
xz,0.0,1.296333,16.1297,4.3996,0.0,114.2,
mica,0,0,0,0,0,0,
cam4,0,0,0,0,0,0,
mDB,0,0,0,0,0,0,
mcf,0,0,0,0,0,0,
sssp,0,0,0,0,0,0,
xapn,0,0,0,0,0,0,
leela,1.881729,1.872923,0.0414,0.0087,92.9,93.4,
nab,1.736838,1.737892,1.0985,0.2747,100.7,100.1,
povray,0,0,0,0,0,0,
deepsj,0,0,0,0,0,0,
perlbc,0,0,0,0,0,0,
