app,ddr_ipc, cxl_ipc,ddr_mbw,cxl_mbw,ddr_mlat,cxl_mlat,
mose,0,0,0,0,0,0,
imgd,0,0,0,0,0,0,
cc,0,0,0,0,0,0,
bc,0,0,0,0,0,0,
lbm,0.529537,0.692264,19.036,6.0906,209.1,124.8,
masst,0,0,0,0,0,0,
pr,0,0,0,0,0,0,
cactB,0,0,0,0,0,0,
tc,0,0,0,0,0,0,
parst,0,0,0,0,0,0,
sphx,0,0,0,0,0,0,
bfs,0,0,0,0,0,0,
omntp,0.818337,0.852882,14.3963,3.6841,147.7,111.0,
wrf,1.288351,1.384446,13.7793,4.1243,163.3,116.2,
xz,0,0,0,0,0,0,
mica,0,0,0,0,0,0,
cam4,1.086897,1.151484,9.0204,2.458,152.9,113.6,
mDB,0,0,0,0,0,0,
mcf,0,0,0,0,0,0,
sssp,0,0,0,0,0,0,
xapn,0,0,0,0,0,0,
leela,0,0,0,0,0,0,
nab,0,0,0,0,0,0,
povray,0,0,0,0,0,0,
deepsj,0,0,0,0,0,0,
perlbc,0,0,0,0,0,0,
