app,ddr_ipc, cxl_ipc,ddr_mbw,cxl_mbw,ddr_mlat,cxl_mlat,
mose,0.650119,1.248835,27.6665,12.3544,343.2,140.9,
imgd,0.65042,1.129275,28.4496,12.2979,193.2,112.3,
cc,0,0,0,0,0,0,
bc,0,0,0,0,0,0,
lbm,0,0,0,0,0,0,
masst,0,0,0,0,0,0,
pr,0,0,0,0,0,0,
cactB,0,0,0,0,0,0,
tc,0,0,0,0,0,0,
parst,0,0,0,0,0,0,
sphx,0,0,0,0,0,0,
bfs,0,0,0,0,0,0,
omntp,0,0,0,0,0,0,
wrf,0,0,0,0,0,0,
xz,0,0,0,0,0,0,
mica,0,0,0,0,0,0,
cam4,0,0,0,0,0,0,
mDB,1.421957,1.461193,5.0084,1.8324,146.0,110.1,
mcf,0,0,0,0,0,0,
sssp,0,0,0,0,0,0,
xapn,0,0,0,0,0,0,
leela,0,0,0,0,0,0,
nab,0,0,0,0,0,0,
povray,0,0,0,0,0,0,
deepsj,0,0,0,0,0,0,
perlbc,0,0,0,0,0,0,
