app, ddr_ipc, cxl_ipc,ddr_mbw,cxl_mbw,ddr_mlat,cxl_mlat,ddr_st,cxl_st,ddr_st_p90,cxl_st_p90
moses,2.034764,2.001038,0.0718,0.0162,94.7,95.5,,,,
imgdnn,1.877579,1.875324,0.3236,0.0813,95,92.8,,,,
cc,1.417153,1.6176,999,999,999,999,,,,
bc,0.878082,0.829935,999,999,999,999,,,,
masstree,1.59093,1.529669,2.0977,0.5159,99.5,98.2,,,,
pr,0.859453,0.887095,999,999,999,999,,,,
tc,1.563311,1.472453,999,999,999,999,,,,
sphinx,1.245672,1.224498,0.0679,0.0173,97.5,98.3,,,,
bfs,1.549444,1.470041,999,999,999,999,,,,
mica,1.44,1.17,0.14,0.12,96,98,,,,
monetDB,1.46,1.56,0.95,0.26,130,105,,,,
sssp,1.325329,1.229738,999,999,999,999,,,,
xapian,1.892294,1.889431,0.0009,0.0003,94,92.8,,,,
lbm,0.992622,0.895508,3.7367,0.8559,119.8,103.3,,,,
cactuBSSN,1.735951274,1.767026186,999,999,999,999,,,,
parest,1.688423,1.650758,0.0581,0.014,92.1,94.5,,,,
omnetpp,1.074523,1.006319,3.1812,0.7599,116,103.2,,,,
wrf,1.548053,1.532293,2.2541,0.5492,111.5,102.5,,,,
xz,1.765922185,1.693363524,999,999,999,999,,,,
cam4,1.132694,1.136587,2.1596,0.5614,134,108.5,,,,
mcf,1.583228464,1.496856707,999,999,999,999,,,,
leela,1.886953,1.877667,0.0106,0.0024,91.7,93.9,,,,
nab,1.737989,1.736667,0.2727,0.0683,99.5,100.5,,,,
povray,1.925315119,1.923961528,999,999,999,999,,,,
deepsjeng,2.25975383,2.221689791,999,999,999,999,,,,
perlbench,1.721482,1.685349,0.0007,0.0002,96.3,97,,,,
